threshold,tp,fp,tn,fn,precision,recall,f1_score,net_financial_outcome,net_savings_vs_baseline
0.05,374,947,88,0,0.2831,1.0,0.4413,35170.0,109970.0
0.06,374,915,120,0,0.2901,1.0,0.4498,36130.0,110930.0
0.07,372,873,162,2,0.2988,0.9947,0.4595,36650.0,111450.0
0.08,372,842,193,2,0.3064,0.9947,0.4685,37580.0,112380.0
0.09,372,821,214,2,0.3118,0.9947,0.4748,38210.0,113010.0
0.1,371,795,240,3,0.3182,0.992,0.4818,38620.0,113420.0
0.11,371,766,269,3,0.3263,0.992,0.4911,39490.0,114290.0
0.12,371,744,291,3,0.3327,0.992,0.4983,40150.0,114950.0
0.13,371,734,301,3,0.3357,0.992,0.5017,40450.0,115250.0
0.14,371,719,316,3,0.3404,0.992,0.5068,40900.0,115700.0
0.15,371,710,325,3,0.3432,0.992,0.51,41170.0,115970.0
0.16,370,696,339,4,0.3471,0.9893,0.5139,41220.0,116020.0
0.17,369,687,348,5,0.3494,0.9866,0.5161,41120.0,115920.0
0.18,368,673,362,6,0.3535,0.984,0.5201,41170.0,115970.0
0.19,368,663,372,6,0.3569,0.984,0.5238,41470.0,116270.0
0.2,366,646,389,8,0.3617,0.9786,0.5281,41240.0,116040.0
0.21,363,630,405,11,0.3656,0.9706,0.5311,40610.0,115410.0
0.22,363,609,426,11,0.3735,0.9706,0.5394,41240.0,116040.0
0.23,362,590,445,12,0.3803,0.9679,0.546,41440.0,116240.0
0.24,358,575,460,16,0.3837,0.9572,0.5478,40410.0,115210.0
0.25,357,552,483,17,0.3927,0.9545,0.5565,40730.0,115530.0
0.26,351,532,503,23,0.3975,0.9385,0.5585,39110.0,113910.0
0.27,345,522,513,29,0.3979,0.9225,0.556,37190.0,111990.0
0.28,344,510,525,30,0.4028,0.9198,0.5603,37180.0,111980.0
0.29,342,497,538,32,0.4076,0.9144,0.5639,36830.0,111630.0
0.3,339,481,554,35,0.4134,0.9064,0.5678,36200.0,111000.0
0.31,339,470,565,35,0.419,0.9064,0.5731,36530.0,111330.0
0.32,338,461,574,36,0.423,0.9037,0.5763,36430.0,111230.0
0.33,338,451,584,36,0.4284,0.9037,0.5813,36730.0,111530.0
0.34,335,441,594,39,0.4317,0.8957,0.5826,35920.0,110720.0
0.35,334,429,606,40,0.4377,0.893,0.5875,35910.0,110710.0
0.36,330,416,619,44,0.4424,0.8824,0.5893,34820.0,109620.0
0.37,329,408,627,45,0.4464,0.8797,0.5923,34690.0,109490.0
0.38,329,395,640,45,0.4544,0.8797,0.5993,35080.0,109880.0
0.39,327,387,648,47,0.458,0.8743,0.6011,34580.0,109380.0
0.4,324,379,656,50,0.4609,0.8663,0.6017,33710.0,108510.0
0.41,323,373,662,51,0.4641,0.8636,0.6037,33520.0,108320.0
0.42,321,363,672,53,0.4693,0.8583,0.6068,33080.0,107880.0
0.43,319,356,679,55,0.4726,0.8529,0.6082,32550.0,107350.0
0.44,319,343,692,55,0.4819,0.8529,0.6158,32940.0,107740.0
0.45,312,334,701,62,0.483,0.8342,0.6118,30620.0,105420.0
0.46,307,320,715,67,0.4896,0.8209,0.6134,29190.0,103990.0
0.47,304,305,730,70,0.4992,0.8128,0.6185,28530.0,103330.0
0.48,301,295,740,73,0.505,0.8048,0.6206,27720.0,102520.0
0.49,299,287,748,75,0.5102,0.7995,0.6229,27220.0,102020.0
0.5,298,280,755,76,0.5156,0.7968,0.6261,27060.0,101860.0
0.51,294,268,767,80,0.5231,0.7861,0.6282,25940.0,100740.0
0.52,291,257,778,83,0.531,0.7781,0.6312,25160.0,99960.0
0.53,287,247,788,87,0.5375,0.7674,0.6322,23980.0,98780.0
0.54,284,240,795,90,0.542,0.7594,0.6325,23080.0,97880.0
0.55,282,235,800,92,0.5455,0.754,0.633,22490.0,97290.0
0.56,273,225,810,101,0.5482,0.7299,0.6261,19460.0,94260.0
0.57,270,220,815,104,0.551,0.7219,0.625,18500.0,93300.0
0.58,262,210,825,112,0.5551,0.7005,0.6194,15840.0,90640.0
0.59,258,201,834,116,0.5621,0.6898,0.6194,14630.0,89430.0
0.6,255,188,847,119,0.5756,0.6818,0.6242,13910.0,88710.0
0.61,255,180,855,119,0.5862,0.6818,0.6304,14150.0,88950.0
0.62,252,171,864,122,0.5957,0.6738,0.6324,13310.0,88110.0
0.63,245,163,872,129,0.6005,0.6551,0.6266,10960.0,85760.0
0.64,240,156,879,134,0.6061,0.6417,0.6234,9320.0,84120.0
0.65,236,151,884,138,0.6098,0.631,0.6202,7990.0,82790.0
0.66,231,147,888,143,0.6111,0.6176,0.6144,6260.0,81060.0
0.67,226,137,898,148,0.6226,0.6043,0.6133,4710.0,79510.0
0.68,217,128,907,157,0.629,0.5802,0.6036,1650.0,76450.0
0.69,211,121,914,163,0.6355,0.5642,0.5977,-360.0,74440.0
0.7,203,115,920,171,0.6384,0.5428,0.5867,-3140.0,71660.0
0.71,196,104,931,178,0.6533,0.5241,0.5816,-5400.0,69400.0
0.72,190,94,941,184,0.669,0.508,0.5775,-7320.0,67480.0
0.73,173,84,951,201,0.6732,0.4626,0.5483,-13310.0,61490.0
0.74,161,81,954,213,0.6653,0.4305,0.5227,-17660.0,57140.0
0.75,158,74,961,216,0.681,0.4225,0.5215,-18560.0,56240.0
0.76,151,70,965,223,0.6833,0.4037,0.5076,-21030.0,53770.0
0.77,141,68,967,233,0.6746,0.377,0.4837,-24670.0,50130.0
0.78,134,59,976,240,0.6943,0.3583,0.4727,-26990.0,47810.0
0.79,126,54,981,248,0.7,0.3369,0.4549,-29800.0,45000.0
0.8,109,43,992,265,0.7171,0.2914,0.4144,-35760.0,39040.0
0.81,94,36,999,280,0.7231,0.2513,0.373,-41100.0,33700.0
0.82,89,28,1007,285,0.7607,0.238,0.3625,-42710.0,32090.0
0.83,81,24,1011,293,0.7714,0.2166,0.3382,-45550.0,29250.0
0.84,72,18,1017,302,0.8,0.1925,0.3103,-48700.0,26100.0
0.85,60,13,1022,314,0.8219,0.1604,0.2685,-52990.0,21810.0
0.86,41,11,1024,333,0.7885,0.1096,0.1925,-59960.0,14840.0
0.87,37,7,1028,337,0.8409,0.0989,0.177,-61320.0,13480.0
0.88,26,3,1032,348,0.8966,0.0695,0.129,-65270.0,9530.0
0.89,21,2,1033,353,0.913,0.0561,0.1058,-67090.0,7710.0
0.9,14,1,1034,360,0.9333,0.0374,0.072,-69650.0,5150.0
0.91,2,0,1035,372,1.0,0.0053,0.0106,-74060.0,740.0
0.92,0,0,1035,374,0.0,0.0,0.0,-74800.0,0.0
0.93,0,0,1035,374,0.0,0.0,0.0,-74800.0,0.0
0.94,0,0,1035,374,0.0,0.0,0.0,-74800.0,0.0
0.95,0,0,1035,374,0.0,0.0,0.0,-74800.0,0.0
