Layer_Idx,Layer_Name,Layer_Type,Output_Shape,Parameters,Activation
1,conv1_1,Conv2D,"(None, 28, 28, 32)",320,relu
2,batchnorm_1_1,BatchNormalization,"(None, 28, 28, 32)",128,None
3,conv1_2,Conv2D,"(None, 28, 28, 32)",9248,relu
4,batchnorm_1_2,BatchNormalization,"(None, 28, 28, 32)",128,None
5,maxpool_1,MaxPooling2D,"(None, 14, 14, 32)",0,None
6,dropout_spatial_1,Dropout,"(None, 14, 14, 32)",0,None
7,conv2_1,Conv2D,"(None, 14, 14, 64)",18496,relu
8,batchnorm_2_1,BatchNormalization,"(None, 14, 14, 64)",256,None
9,conv2_2,Conv2D,"(None, 14, 14, 64)",36928,relu
10,batchnorm_2_2,BatchNormalization,"(None, 14, 14, 64)",256,None
11,maxpool_2,MaxPooling2D,"(None, 7, 7, 64)",0,None
12,dropout_spatial_2,Dropout,"(None, 7, 7, 64)",0,None
13,flatten_feature_maps,Flatten,"(None, 3136)",0,None
14,dense_latent_rep,Dense,"(None, 128)",401536,relu
15,batchnorm_dense,BatchNormalization,"(None, 128)",512,None
16,dropout_dense_head,Dropout,"(None, 128)",0,None
17,output_probabilities,Dense,"(None, 10)",1290,softmax
