Class,precision,recall,f1-score,support
T-shirt/top,0.041666666666666664,0.026,0.03201970443349754,500.0
Trouser,0.0,0.0,0.0,500.0
Pullover,0.08333333333333333,0.002,0.00390625,500.0
Dress,0.0,0.0,0.0,500.0
Coat,0.0,0.0,0.0,500.0
Sandal,0.0,0.0,0.0,500.0
Shirt,0.10786026200873362,0.988,0.19448818897637796,500.0
Sneaker,0.0,0.0,0.0,500.0
Bag,0.0,0.0,0.0,500.0
Ankle boot,0.4148936170212766,0.078,0.13131313131313133,500.0
accuracy,0.1094,0.1094,0.1094,0.1094
macro avg,0.06477538790300101,0.10940000000000001,0.03617272747230068,5000.0
weighted avg,0.06477538790300102,0.1094,0.03617272747230068,5000.0
