Class,precision,recall,f1-score,support
T-shirt/top,0.12265758091993186,0.144,0.13247470101195952,500.0
Trouser,0.0,0.0,0.0,500.0
Pullover,0.22576966932725198,0.396,0.2875816993464052,500.0
Dress,0.06493506493506493,0.02,0.03058103975535168,500.0
Coat,0.0,0.0,0.0,500.0
Sandal,0.09099307159353348,0.394,0.14784240150093808,500.0
Shirt,0.0,0.0,0.0,500.0
Sneaker,0.08695652173913043,0.012,0.0210896309314587,500.0
Bag,0.06,0.006,0.01090909090909091,500.0
Ankle boot,0.10857142857142857,0.228,0.14709677419354839,500.0
accuracy,0.12,0.12,0.12,0.12
macro avg,0.07598833370863411,0.12000000000000002,0.07775753376487524,5000.0
weighted avg,0.07598833370863414,0.12,0.07775753376487525,5000.0
