Class_Name,MLP_Precision,MLP_Recall,MLP_F1,CNN_Precision,CNN_Recall,CNN_F1,F1_Improvement,Pct_Gain
T-shirt/top,0.1227,0.144,0.1325,0.0417,0.026,0.032,-0.1005,-75.83%
Trouser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+0.0%
Pullover,0.2258,0.396,0.2876,0.0833,0.002,0.0039,-0.2837,-98.64%
Dress,0.0649,0.02,0.0306,0.0,0.0,0.0,-0.0306,-100.00%
Coat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+0.0%
Sandal,0.091,0.394,0.1478,0.0,0.0,0.0,-0.1478,-100.00%
Shirt,0.0,0.0,0.0,0.1079,0.988,0.1945,0.1945,+19.4%
Sneaker,0.087,0.012,0.0211,0.0,0.0,0.0,-0.0211,-100.00%
Bag,0.06,0.006,0.0109,0.0,0.0,0.0,-0.0109,-100.00%
Ankle boot,0.1086,0.228,0.1471,0.4149,0.078,0.1313,-0.0158,-10.73%
