CustomerID,Age,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,ContractType,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingServices,MonthlyUsageGB,SupportTicketsLastYear,PaymentDelaysCount,CustomerSatisfactionScore,MonthlyCharges,TotalChargesHistorical,Churn,CustomerLifetimeValue
CUST_10001,48,Female,0,Yes,Yes,43,Two year,Yes,Bank transfer (automatic),DSL,No,No,No,152.3,2,0,4.0,50.0,2165.6,0,2086.47
CUST_10002,40,Female,0,Yes,Yes,43,One year,Yes,Bank transfer (automatic),DSL,No,No,No,148.7,1,0,4.0,50.79,2165.3,0,2005.17
CUST_10003,50,Female,0,No,No,18,Month-to-month,Yes,Electronic check,DSL,No,Yes,Yes,77.4,2,2,4.0,86.4,1609.97,1,684.03
CUST_10004,62,Female,0,Yes,Yes,24,One year,No,Electronic check,Fiber optic,No,No,Yes,213.8,0,2,4.0,100.94,2451.68,0,3024.16
CUST_10005,39,Female,0,Yes,Yes,0,Month-to-month,Yes,Electronic check,Fiber optic,No,No,No,98.0,0,2,5.0,71.41,0.0,0,1633.45
CUST_10006,39,Male,0,Yes,No,2,Month-to-month,No,Electronic check,Fiber optic,No,Yes,Yes,287.6,1,1,4.0,113.27,291.96,0,3099.89
CUST_10007,63,Male,0,Yes,No,4,Month-to-month,Yes,Mailed check,No,No internet service,No internet service,No internet service,20.6,3,0,4.0,23.29,86.7,1,517.48
CUST_10008,52,Male,0,No,No,47,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,No,430.2,3,1,3.0,111.1,5190.3,1,1647.86
CUST_10009,36,Female,0,Yes,Yes,38,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,No,Yes,294.3,2,0,4.0,98.46,3716.12,1,1518.47
CUST_10010,49,Female,0,No,No,48,One year,No,Bank transfer (automatic),DSL,Yes,No,No,83.9,3,0,4.0,63.96,3072.85,0,2245.08
CUST_10011,36,Female,0,No,No,4,One year,Yes,Mailed check,DSL,No,Yes,No,189.7,0,0,5.0,60.83,249.56,0,1849.66
CUST_10012,36,Male,0,Yes,Yes,31,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,Yes,28.4,2,0,3.0,68.49,2120.71,0,1915.27
CUST_10013,45,Male,0,Yes,No,28,One year,Yes,Electronic check,Fiber optic,No,No,No,347.5,1,2,3.0,69.13,1919.86,0,2242.2
CUST_10014,18,Male,0,No,No,48,Two year,No,Mailed check,No,No internet service,No internet service,No internet service,9.2,1,0,5.0,25.09,1248.73,0,1047.22
CUST_10015,20,Female,0,Yes,Yes,28,Month-to-month,No,Credit card (automatic),No,No internet service,No internet service,No internet service,15.8,3,0,4.0,21.33,587.61,0,960.54
CUST_10016,35,Male,0,Yes,No,16,One year,Yes,Bank transfer (automatic),DSL,No,Yes,No,125.7,1,1,5.0,60.29,955.54,0,1357.48
CUST_10017,29,Female,0,Yes,Yes,52,One year,Yes,Electronic check,DSL,Yes,Yes,No,161.0,2,1,3.0,82.05,4209.52,0,2900.63
CUST_10018,46,Male,0,No,No,62,Two year,Yes,Credit card (automatic),DSL,No,No,Yes,170.9,2,0,5.0,69.61,4283.88,0,2682.17
CUST_10019,30,Male,0,No,No,21,Month-to-month,No,Bank transfer (automatic),DSL,No,Yes,No,38.5,0,1,4.0,68.64,1478.36,0,1844.86
CUST_10020,24,Male,0,Yes,No,0,Two year,Yes,Mailed check,DSL,No,Yes,No,88.1,1,0,5.0,57.52,0.0,0,1389.79
CUST_10021,61,Male,0,Yes,Yes,48,Month-to-month,Yes,Bank transfer (automatic),DSL,No,Yes,Yes,123.6,3,1,4.0,89.8,4340.22,0,2854.46
CUST_10022,39,Female,0,No,No,16,One year,No,Electronic check,DSL,No,Yes,No,165.9,1,1,5.0,66.87,1053.42,0,1726.9
CUST_10023,43,Male,0,No,No,35,Month-to-month,Yes,Mailed check,DSL,No,Yes,Yes,144.6,0,0,4.0,84.68,2944.04,0,2595.29
CUST_10024,23,Male,0,No,No,40,Two year,Yes,Bank transfer (automatic),DSL,No,Yes,No,68.7,0,0,5.0,61.42,2462.56,0,2034.08
CUST_10025,35,Female,0,No,No,6,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,Yes,No,376.3,7,0,2.0,89.84,548.18,1,1010.34
CUST_10026,43,Female,0,Yes,Yes,44,One year,Yes,Electronic check,Fiber optic,No,Yes,Yes,450.5,0,3,5.0,119.47,5224.34,0,4024.56
CUST_10027,27,Female,0,No,No,35,Month-to-month,Yes,Mailed check,No,No internet service,No internet service,No internet service,10.3,1,2,4.0,18.5,635.46,0,636.48
CUST_10028,47,Female,0,Yes,Yes,49,Month-to-month,No,Credit card (automatic),DSL,Yes,Yes,Yes,89.4,0,0,5.0,87.85,4302.31,0,2709.38
CUST_10029,34,Female,0,Yes,Yes,53,Two year,Yes,Electronic check,Fiber optic,No,No,No,281.1,2,1,4.0,82.76,4389.22,0,3190.12
CUST_10030,38,Male,0,No,No,41,One year,Yes,Credit card (automatic),DSL,Yes,No,Yes,90.3,0,1,5.0,83.21,3422.25,0,2379.68
CUST_10031,34,Female,0,Yes,No,35,One year,Yes,Electronic check,DSL,No,No,No,110.9,2,1,4.0,47.06,1646.9,0,1796.52
CUST_10032,66,Female,1,No,No,18,One year,Yes,Electronic check,Fiber optic,No,No,No,348.5,0,1,5.0,76.73,1407.18,0,2300.19
CUST_10033,42,Male,0,Yes,Yes,29,Month-to-month,Yes,Electronic check,DSL,Yes,No,No,119.5,0,2,3.0,69.72,2079.84,1,1188.55
CUST_10034,28,Male,0,No,No,58,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,No,No,406.2,2,1,4.0,88.93,5132.34,0,3198.21
CUST_10035,53,Male,0,No,No,32,Two year,Yes,Electronic check,Fiber optic,No,No,Yes,308.5,0,2,4.0,98.59,3149.7,1,1593.27
CUST_10036,26,Female,0,Yes,No,61,Two year,No,Mailed check,Fiber optic,No,No,Yes,222.3,0,0,5.0,98.76,6004.13,0,3313.16
CUST_10037,45,Male,0,No,No,57,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,Yes,234.4,5,2,2.0,124.27,7060.56,0,3902.33
CUST_10038,18,Male,0,Yes,Yes,14,One year,No,Electronic check,Fiber optic,No,No,No,411.3,0,1,4.0,76.55,1064.25,0,2351.13
CUST_10039,25,Female,0,No,No,27,Two year,Yes,Mailed check,Fiber optic,Yes,No,Yes,256.7,0,2,5.0,113.28,3033.37,0,3298.64
