CustomerID,Age,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,ContractType,PaperlessBilling,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingServices,MonthlyUsageGB,SupportTicketsLastYear,PaymentDelaysCount,CustomerSatisfactionScore,MonthlyCharges,TotalChargesHistorical,Churn,CustomerLifetimeValue,Cluster_ID,Customer_Persona,Predicted_Churn_Prob,Predicted_Churn_Binary,Predicted_CLV_Dollars,Churn_Risk_Tier,CLV_Value_Tier
CUST_10001,48,Female,0,Yes,Yes,43,Two year,Yes,Bank transfer (automatic),DSL,No,No,No,152.3,2,0,4.0,50.0,2165.6,0,2086.47,1,At-Risk Month-to-Month Consumers,0.015,0,1821.03,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10002,40,Female,0,Yes,Yes,43,One year,Yes,Bank transfer (automatic),DSL,No,No,No,148.7,1,0,4.0,50.79,2165.3,0,2005.17,1,At-Risk Month-to-Month Consumers,0.0281,0,1845.58,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10003,50,Female,0,No,No,18,Month-to-month,Yes,Electronic check,DSL,No,Yes,Yes,77.4,2,2,4.0,86.4,1609.97,1,684.03,0,High-Value Enterprise Loyalists,0.6558,1,1920.49,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10004,62,Female,0,Yes,Yes,24,One year,No,Electronic check,Fiber optic,No,No,Yes,213.8,0,2,4.0,100.94,2451.68,0,3024.16,0,High-Value Enterprise Loyalists,0.082,0,2773.01,Low Risk (<30%),High Value (>$2.5k)
CUST_10005,39,Female,0,Yes,Yes,0,Month-to-month,Yes,Electronic check,Fiber optic,No,No,No,98.0,0,2,5.0,71.41,0.0,0,1633.45,1,At-Risk Month-to-Month Consumers,0.2341,0,1274.32,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10006,39,Male,0,Yes,No,2,Month-to-month,No,Electronic check,Fiber optic,No,Yes,Yes,287.6,1,1,4.0,113.27,291.96,0,3099.89,2,Tech-Savvy Heavy Streamers,0.604,1,1856.51,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10007,63,Male,0,Yes,No,4,Month-to-month,Yes,Mailed check,No,No internet service,No internet service,No internet service,20.6,3,0,4.0,23.29,86.7,1,517.48,3,Budget-Conscious Minimalists,0.601,1,477.6,Critical Risk (>60%),Budget Value (<$1.2k)
CUST_10008,52,Male,0,No,No,47,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,No,430.2,3,1,3.0,111.1,5190.3,1,1647.86,3,Budget-Conscious Minimalists,0.7466,1,2108.95,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10009,36,Female,0,Yes,Yes,38,Month-to-month,No,Bank transfer (automatic),Fiber optic,No,No,Yes,294.3,2,0,4.0,98.46,3716.12,1,1518.47,2,Tech-Savvy Heavy Streamers,0.1057,0,3043.55,Low Risk (<30%),High Value (>$2.5k)
CUST_10010,49,Female,0,No,No,48,One year,No,Bank transfer (automatic),DSL,Yes,No,No,83.9,3,0,4.0,63.96,3072.85,0,2245.08,3,Budget-Conscious Minimalists,0.0234,0,2178.22,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10011,36,Female,0,No,No,4,One year,Yes,Mailed check,DSL,No,Yes,No,189.7,0,0,5.0,60.83,249.56,0,1849.66,1,At-Risk Month-to-Month Consumers,0.0409,0,1696.35,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10012,36,Male,0,Yes,Yes,31,Month-to-month,Yes,Bank transfer (automatic),DSL,No,No,Yes,28.4,2,0,3.0,68.49,2120.71,0,1915.27,3,Budget-Conscious Minimalists,0.3064,0,1688.14,Medium Risk (30-60%),Mid Value ($1.2k-$2.5k)
CUST_10013,45,Male,0,Yes,No,28,One year,Yes,Electronic check,Fiber optic,No,No,No,347.5,1,2,3.0,69.13,1919.86,0,2242.2,0,High-Value Enterprise Loyalists,0.2979,0,1795.98,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10014,18,Male,0,No,No,48,Two year,No,Mailed check,No,No internet service,No internet service,No internet service,9.2,1,0,5.0,25.09,1248.73,0,1047.22,1,At-Risk Month-to-Month Consumers,0.0069,0,1216.53,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10015,20,Female,0,Yes,Yes,28,Month-to-month,No,Credit card (automatic),No,No internet service,No internet service,No internet service,15.8,3,0,4.0,21.33,587.61,0,960.54,1,At-Risk Month-to-Month Consumers,0.1507,0,877.08,Low Risk (<30%),Budget Value (<$1.2k)
CUST_10016,35,Male,0,Yes,No,16,One year,Yes,Bank transfer (automatic),DSL,No,Yes,No,125.7,1,1,5.0,60.29,955.54,0,1357.48,1,At-Risk Month-to-Month Consumers,0.0594,0,1708.48,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10017,29,Female,0,Yes,Yes,52,One year,Yes,Electronic check,DSL,Yes,Yes,No,161.0,2,1,3.0,82.05,4209.52,0,2900.63,3,Budget-Conscious Minimalists,0.0378,0,2716.66,Low Risk (<30%),High Value (>$2.5k)
CUST_10018,46,Male,0,No,No,62,Two year,Yes,Credit card (automatic),DSL,No,No,Yes,170.9,2,0,5.0,69.61,4283.88,0,2682.17,1,At-Risk Month-to-Month Consumers,0.0073,0,2529.76,Low Risk (<30%),High Value (>$2.5k)
CUST_10019,30,Male,0,No,No,21,Month-to-month,No,Bank transfer (automatic),DSL,No,Yes,No,38.5,0,1,4.0,68.64,1478.36,0,1844.86,1,At-Risk Month-to-Month Consumers,0.144,0,1804.05,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10020,24,Male,0,Yes,No,0,Two year,Yes,Mailed check,DSL,No,Yes,No,88.1,1,0,5.0,57.52,0.0,0,1389.79,1,At-Risk Month-to-Month Consumers,0.0664,0,1458.09,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10021,61,Male,0,Yes,Yes,48,Month-to-month,Yes,Bank transfer (automatic),DSL,No,Yes,Yes,123.6,3,1,4.0,89.8,4340.22,0,2854.46,3,Budget-Conscious Minimalists,0.0757,0,2719.13,Low Risk (<30%),High Value (>$2.5k)
CUST_10022,39,Female,0,No,No,16,One year,No,Electronic check,DSL,No,Yes,No,165.9,1,1,5.0,66.87,1053.42,0,1726.9,1,At-Risk Month-to-Month Consumers,0.0927,0,1762.31,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10023,43,Male,0,No,No,35,Month-to-month,Yes,Mailed check,DSL,No,Yes,Yes,144.6,0,0,4.0,84.68,2944.04,0,2595.29,1,At-Risk Month-to-Month Consumers,0.0552,0,2380.4,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10024,23,Male,0,No,No,40,Two year,Yes,Bank transfer (automatic),DSL,No,Yes,No,68.7,0,0,5.0,61.42,2462.56,0,2034.08,1,At-Risk Month-to-Month Consumers,0.0119,0,2029.79,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10025,35,Female,0,No,No,6,Month-to-month,Yes,Credit card (automatic),Fiber optic,No,Yes,No,376.3,7,0,2.0,89.84,548.18,1,1010.34,3,Budget-Conscious Minimalists,0.9092,1,1219.68,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10026,43,Female,0,Yes,Yes,44,One year,Yes,Electronic check,Fiber optic,No,Yes,Yes,450.5,0,3,5.0,119.47,5224.34,0,4024.56,2,Tech-Savvy Heavy Streamers,0.0942,0,3770.44,Low Risk (<30%),High Value (>$2.5k)
CUST_10027,27,Female,0,No,No,35,Month-to-month,Yes,Mailed check,No,No internet service,No internet service,No internet service,10.3,1,2,4.0,18.5,635.46,0,636.48,1,At-Risk Month-to-Month Consumers,0.0696,0,890.12,Low Risk (<30%),Budget Value (<$1.2k)
CUST_10028,47,Female,0,Yes,Yes,49,Month-to-month,No,Credit card (automatic),DSL,Yes,Yes,Yes,89.4,0,0,5.0,87.85,4302.31,0,2709.38,1,At-Risk Month-to-Month Consumers,0.0349,0,2765.74,Low Risk (<30%),High Value (>$2.5k)
CUST_10029,34,Female,0,Yes,Yes,53,Two year,Yes,Electronic check,Fiber optic,No,No,No,281.1,2,1,4.0,82.76,4389.22,0,3190.12,2,Tech-Savvy Heavy Streamers,0.0143,0,2809.4,Low Risk (<30%),High Value (>$2.5k)
CUST_10030,38,Male,0,No,No,41,One year,Yes,Credit card (automatic),DSL,Yes,No,Yes,90.3,0,1,5.0,83.21,3422.25,0,2379.68,1,At-Risk Month-to-Month Consumers,0.0227,0,2551.31,Low Risk (<30%),High Value (>$2.5k)
CUST_10031,34,Female,0,Yes,No,35,One year,Yes,Electronic check,DSL,No,No,No,110.9,2,1,4.0,47.06,1646.9,0,1796.52,1,At-Risk Month-to-Month Consumers,0.0624,0,1637.08,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10032,66,Female,1,No,No,18,One year,Yes,Electronic check,Fiber optic,No,No,No,348.5,0,1,5.0,76.73,1407.18,0,2300.19,2,Tech-Savvy Heavy Streamers,0.1036,0,2255.9,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10033,42,Male,0,Yes,Yes,29,Month-to-month,Yes,Electronic check,DSL,Yes,No,No,119.5,0,2,3.0,69.72,2079.84,1,1188.55,0,High-Value Enterprise Loyalists,0.6504,1,1618.65,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10034,28,Male,0,No,No,58,Month-to-month,Yes,Bank transfer (automatic),Fiber optic,Yes,No,No,406.2,2,1,4.0,88.93,5132.34,0,3198.21,2,Tech-Savvy Heavy Streamers,0.1024,0,2943.39,Low Risk (<30%),High Value (>$2.5k)
CUST_10035,53,Male,0,No,No,32,Two year,Yes,Electronic check,Fiber optic,No,No,Yes,308.5,0,2,4.0,98.59,3149.7,1,1593.27,0,High-Value Enterprise Loyalists,0.095,0,2712.76,Low Risk (<30%),High Value (>$2.5k)
CUST_10036,26,Female,0,Yes,No,61,Two year,No,Mailed check,Fiber optic,No,No,Yes,222.3,0,0,5.0,98.76,6004.13,0,3313.16,2,Tech-Savvy Heavy Streamers,0.0084,0,3334.86,Low Risk (<30%),High Value (>$2.5k)
CUST_10037,45,Male,0,No,No,57,Month-to-month,Yes,Electronic check,Fiber optic,Yes,Yes,Yes,234.4,5,2,2.0,124.27,7060.56,0,3902.33,3,Budget-Conscious Minimalists,0.3883,0,3275.4,Medium Risk (30-60%),High Value (>$2.5k)
CUST_10038,18,Male,0,Yes,Yes,14,One year,No,Electronic check,Fiber optic,No,No,No,411.3,0,1,4.0,76.55,1064.25,0,2351.13,2,Tech-Savvy Heavy Streamers,0.1317,0,2056.73,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10039,25,Female,0,No,No,27,Two year,Yes,Mailed check,Fiber optic,Yes,No,Yes,256.7,0,2,5.0,113.28,3033.37,0,3298.64,2,Tech-Savvy Heavy Streamers,0.0169,0,3175.79,Low Risk (<30%),High Value (>$2.5k)
CUST_10040,45,Female,0,Yes,Yes,15,Month-to-month,No,Electronic check,Fiber optic,No,No,Yes,397.4,3,2,3.0,98.17,1490.11,1,1310.41,0,High-Value Enterprise Loyalists,0.8745,1,1549.87,Critical Risk (>60%),Mid Value ($1.2k-$2.5k)
CUST_10041,52,Male,0,No,No,56,One year,No,Electronic check,Fiber optic,No,No,No,408.4,1,0,4.0,70.71,4014.57,0,2763.99,2,Tech-Savvy Heavy Streamers,0.0427,0,2648.33,Low Risk (<30%),High Value (>$2.5k)
CUST_10042,44,Male,0,Yes,Yes,33,Month-to-month,No,Mailed check,DSL,No,No,No,163.8,2,0,4.0,42.52,1402.3,0,1424.72,1,At-Risk Month-to-Month Consumers,0.1409,0,1501.14,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10043,40,Male,0,Yes,Yes,33,Month-to-month,Yes,Bank transfer (automatic),DSL,Yes,Yes,No,81.4,3,2,3.0,77.38,2540.45,1,948.55,0,High-Value Enterprise Loyalists,0.469,1,2039.66,Medium Risk (30-60%),Mid Value ($1.2k-$2.5k)
CUST_10044,38,Male,0,Yes,No,44,One year,Yes,Electronic check,DSL,Yes,No,No,84.9,0,3,5.0,55.26,2392.2,0,1797.63,0,High-Value Enterprise Loyalists,0.1181,0,1864.06,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10045,23,Male,0,Yes,Yes,68,Two year,No,Mailed check,DSL,Yes,No,No,156.4,1,0,5.0,61.71,4182.84,0,2640.51,1,At-Risk Month-to-Month Consumers,0.0054,0,2334.13,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10046,33,Male,0,No,No,67,One year,Yes,Electronic check,No,No internet service,No internet service,No internet service,5.3,1,1,5.0,24.97,1685.85,0,1432.96,1,At-Risk Month-to-Month Consumers,0.0172,0,1472.14,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10047,36,Female,0,No,No,27,Month-to-month,Yes,Mailed check,DSL,No,Yes,Yes,146.0,1,1,4.0,87.19,2358.49,1,1082.21,1,At-Risk Month-to-Month Consumers,0.0826,0,2322.01,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10048,56,Female,0,No,No,60,One year,No,Credit card (automatic),DSL,Yes,No,No,164.4,3,1,3.0,60.49,3606.97,0,2493.09,3,Budget-Conscious Minimalists,0.0406,0,2269.39,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
CUST_10049,46,Female,0,Yes,No,53,One year,No,Credit card (automatic),DSL,No,No,Yes,43.4,1,1,4.0,70.23,3736.23,0,2273.11,1,At-Risk Month-to-Month Consumers,0.0161,0,2380.74,Low Risk (<30%),Mid Value ($1.2k-$2.5k)
