Threshold,True_Positives,False_Positives,False_Negatives,Net_Financial_Value_Dollars,Intervention_ROI_Pct,F1_Score
0.1,151,260,23,93120.0,377.6,0.5162
0.12,148,228,26,92880.0,411.7,0.5382
0.14,144,197,30,91860.0,449.0,0.5592
0.16,138,181,36,88500.0,462.4,0.5598
0.18,135,160,39,87600.0,494.9,0.5757
0.2,128,141,46,83700.0,518.6,0.5779
0.22,124,131,50,81420.0,532.2,0.5781
0.24,119,113,55,78900.0,566.8,0.5862
0.26,112,97,62,74820.0,596.7,0.5849
0.28,109,86,65,73320.0,626.7,0.5908
0.3,105,84,69,70560.0,622.2,0.5785
0.32,100,74,74,67560.0,647.1,0.5747
0.34,92,62,82,62520.0,676.6,0.561
0.36,91,57,83,62100.0,699.3,0.5652
0.38,88,52,86,60240.0,717.1,0.5605
0.4,82,47,92,56220.0,726.4,0.5413
0.42,75,46,99,51240.0,705.8,0.5085
0.44,72,44,102,49200.0,706.9,0.4966
0.46,70,41,104,47940.0,719.8,0.4912
0.48,65,39,109,44460.0,712.5,0.4676
0.5,64,37,110,43860.0,723.8,0.4655
0.52,61,36,113,41760.0,717.5,0.4502
0.54,56,34,118,38280.0,708.9,0.4242
0.56,52,32,122,35520.0,704.8,0.4031
0.58,50,30,124,34200.0,712.5,0.3937
0.6,49,28,125,33600.0,727.3,0.3904
0.62,44,25,130,30180.0,729.0,0.3621
0.64,43,22,131,29640.0,760.0,0.3598
0.66,41,20,133,28320.0,773.8,0.3489
0.68,38,19,136,26220.0,766.7,0.329
0.7,30,16,144,20640.0,747.8,0.2727
0.72,25,14,149,17160.0,733.3,0.2347
0.74,19,12,155,12960.0,696.8,0.1854
0.76,17,9,157,11700.0,750.0,0.17
0.78,15,7,159,10380.0,786.4,0.1531
0.8,14,7,160,9660.0,766.7,0.1436
0.82,13,4,161,9120.0,894.1,0.1361
0.84,13,3,161,9180.0,956.2,0.1368
0.86,11,2,163,7800.0,1000.0,0.1176
0.88,10,1,164,7140.0,1081.8,0.1081
0.9,7,0,167,5040.0,1200.0,0.0773
